Unnamed: 0,ALG,Optimum,Blocking Pairs,Sum_Profit,Sum_ETA,Sum_Max_Possible_Profit,Min_Individual_Profit,Max_Individual_Profit,Sum_Min_Possible_ETA,Min_Individual_ETA,Max_Individual_ETA,rel_Profit_Performance,rel_ETA_Performance,n,ID,Alg
693,ALG2,Passenger-optimal,101,1045,539,1819,11,99,133,2,57,0.5744914788345244,0.24675324675324675,20,F2P,F2P
694,ALG1,Passenger-optimal,67,1491,522,1858,14,99,98,1,53,0.802475780409042,0.18773946360153257,20,F1P,F1P
695,ALG2,Passenger-optimal,101,855,606,1858,2,93,98,3,57,0.46017222820236814,0.1617161716171617,20,F2P,F2P
696,ALG1,Passenger-optimal,67,1343,517,1803,12,96,95,1,57,0.7448696616749861,0.18375241779497098,20,F1P,F1P
697,ALG2,Passenger-optimal,120,936,522,1803,4,97,95,3,55,0.519134775374376,0.18199233716475097,20,F2P,F2P
698,ALG1,Passenger-optimal,44,1499,702,1814,36,98,128,1,56,0.8263506063947078,0.18233618233618235,20,F1P,F1P
699,ALG2,Passenger-optimal,83,1045,710,1814,5,92,128,13,53,0.5760749724366042,0.18028169014084508,20,F2P,F2P
700,ALG1,Passenger-optimal,107,1437,492,1865,29,99,115,2,53,0.7705093833780161,0.23373983739837398,20,F1P,F1P
701,ALG2,Passenger-optimal,87,988,675,1865,1,96,115,3,59,0.5297587131367292,0.17037037037037037,20,F2P,F2P
702,ALG1,Passenger-optimal,62,1303,564,1865,12,97,104,1,55,0.6986595174262734,0.18439716312056736,20,F1P,F1P
703,ALG2,Passenger-optimal,136,813,755,1865,4,86,104,5,56,0.4359249329758713,0.13774834437086092,20,F2P,F2P
704,ALG1,Passenger-optimal,73,1657,650,1859,5,99,96,1,58,0.8913394298009683,0.1476923076923077,20,F1P,F1P
705,ALG2,Passenger-optimal,89,974,494,1859,3,96,96,1,59,0.5239376008606778,0.19433198380566802,20,F2P,F2P
